name,author,publisher,listprice,price,page,isbn10
발달심리학,John W. Santrock,교육과학사,33000,33000,692,8925410133
한국 범죄심리학,황성현,피앤씨미디어,33000,33000,,9791157302116
아주 특별한 생물학 수업,장수철,휴머니스트,22000,19800,448,8958628537
강박증 인지행동치료 ,권준수,학지사,16000,15520,,9788999706882
사회복지실천론 (2판),김혜영,공동체,19000,19000,,8963525880
제대로 배우는 MATLAB,방성완,한빛아카데미,26000,26000,424,1156641349
쉽게 배우는 전자기학,박건,북스힐,22000,22000,388,8955267118
발달장애아동의 마음읽기,박재국,시그마프레스,15000,15000,328,8968661529
8일간의 선형대수학,박부성,경문사,10000,10000,300,896105709X
ADHD와 사회성 기술들,이재욱,교육과학사,16000,16000,328,8925407671
서울대 한국어 1A Workbook ,서울대학교 언어교육원,TWOPONDS(투판즈),13000,13000,248,8953949467
아동상담,황현주,파란마음,18000,18000,370,8997982184
사회조사방법론 ,얼 바비,센게이지러닝(Cengage Learning),35000,35000,856,8962183528
현대 반도체 소자 공학,첸밍 후,한빛아카데미,25000,25000,456,8998756390
수화통역의 기초,원성옥,교우사(오판근),15000,15000,174,8981729743
조경수 식재관리기술,이경준,서울대학교출판문화원,32000,32000,,9788952114259
교육과정,권낙원,동문사,18000,18000,350,8982515100
대상관계이론과 자기심리학,Michael St. Clair,센게이지러닝(Cengage Learning),18000,18000,351,8962182327
문제로 배우는 캠벨 생명과학,김옥용,바이오사이언스,21000,21000,752,8992709269
교육심리학,임규혁,학지사,19000,18430,486,8958914947
정보서비스론,박준식,계명대학교출판부,23000,23000,,8975853861
감각통합과 아동,김경미,군자출판사,20000,20000,228,8970898107
잘못된 식생활이 성인병을 만든다,미국상원영양문제특별위원회,형성사,7500,6750,278,8973461303
상담과 심리검사,김계현,학지사,20000,20000,,9788963304137
2019 산업안전보건법령집,한국정책연구원,건설정보사,45000,40500,,8962952378
PASS 기계직 공무원 기출문제,위을복,학진북스,29000,26100,473,8968780390
매개분석 조절분석 및 조절된 매개분석,Andrew F. Hayes,신영사,40000,40000,,9788955015393
학교란 무엇인가,학교란무엇인가제작팀,중앙북스(books),14800,13320,296,8927802527
위염의 내시경소견,이선영,학지사메디컬,50000,50000,232,8960698040
시민생활과 법,송덕수,이화여자대학교출판문화원,18000,18000,384,1158903332
2019 보건의약관계법규,전국 간호대학 법교육 연구회,에듀팩토리,30000,30000,648,115823340X
교육평가의 기초,성태제,학지사,22000,21340,,9788999718649
비수술치료 재활의학이 답하다 ,박정욱,착한북스,18000,16200,215,1186001860
약국에서 써본 첫 번째 약이야기,박정완,참약사협동조합,25000,25000,292,1196168016
놀이하는 유아,임수진,양서원(박철용),15000,15000,,8999408930
부모상담의 실제,유연화,공동체,12000,12000,170,1161054162
2020 Pacific KNLE 예상문제풀이 4 아동간호학,퍼시픽학술국,퍼시픽북스,18000,17100,591,1163750336
상담이론과 실제,양명숙,학지사,24000,23280,619,8999716112
특수교육의 이해,김동일,학지사,20000,19400,404,899979265X
알기 쉬운 약리학,Masahiko Suzuki,의학교육,32000,32000,374,1161270191
Textbook of Radiographic Positioning and Clinical Diganosis Volume. 2,대한의료영상기술연구회,청구문화사,50000,50000,,9788956167909
건설공사 스마트 핸드북(전기/통신),한국토지주택공사 건설관리처,건설도서,84000,75600,820,897706239X
