name,author,publisher,listprice,price,page,isbn10
물리치료사 되기 ,안소윤,학지사메디컬,14000,14000,224,8960697532
상가주택 건축주 바이블,유훈조,주택문화사,23000,20700,392,8966030432
생명: 생물의 과학,정종우,라이프사이언스,70000,70000,"1,448",896154294X
학교도서관 운영의 실제,송기호,한국도서관협회,32000,32000,664,8976783565
발달심리학,신명희,학지사,27000,26190,,9788999711343
생활체육론 특강,이제홍,대경북스,20000,19000,319,8956765782
최신 혈액투석간호,병원투석간호사회,메디컬사이언스,40000,40000,456,1195590318
"하늘, 비행기, 그리고 사람들",이근영,준커뮤니케이션즈,12000,10800,258,8993272662
사회성 기술 지도 매뉴얼,우에노 카즈히코,학지사,16000,15520,172,8999708179
교육방법 및 교육공학,백영균,학지사,19000,18430,,9788999707766
손에 잡히는 의학용어,김성수,보문각,15000,15000,368,8962202549
유아 동작교육의 이론과 실제,김은심,창지사,20000,20000,,894260773X
사례개념화 이해와 실제,Len Sperry,학지사,17000,17000,294,8999703169
근막경선 해부학,Thomas W. Myers,엘스비어코리아,60000,60000,392,1156880017
정서 및 행동장애,이성봉,학지사,20000,20000,,9788999703997
상담연구방법론,고홍월,학지사,18000,18000,392,8999700313
분석심리학,이부영,일조각,30000,30000,450,8933706127
수목생리학,이경준,서울대학교출판부,19000,19000,,9788952111951
사회복지사의 희망 이야기,노혜련,학지사,10000,9700,304,8963302415
만화의 이해 (Understanding Comics),스콧 맥클라우드,비즈앤비즈,19000,17100,256,8992607148
논쟁에서 이기는 38가지 방법,아르투어 쇼펜하우어,고려대학교출판부,11000,11000,160,8976416147
화성학 해제집,백병동,수문당,15000,15000,203,8988951018
알기 쉬운 선형대수,Howard Anton,한티에듀,32000,28800,664,1196461716
한눈에 보는 근육 관절의 기능해부학,KAWASHIMA Toshio,신흥메드싸이언스,29000,27550,252,8964980581
시론,김준오,삼지원,23000,23000,465,8974900246
리얼월드 알고리즘,파노스 루리다스,길벗,32000,28800,512,1160508801
공중보건학 ,이재홍,학지사메디컬,27000,27000,296,8960698016
현대 심리평가의 이해와 활용,박영숙,학지사,25000,24250,712,899971831X
칼만 필터는 어렵지 않아,김성필,한빛아카데미,26000,23400,256,1156644410
2020 Pacific KNLE 예상문제풀이 3 모성간호학,퍼시픽학술국,퍼시픽북스,16000,15200,445,1163750328
2020 Pacific KNLE 예상문제풀이 1 성인간호학 1,퍼시픽학술국,퍼시픽북스,17000,16150,446,1163750301
2020 간호사국가시험 핵심 문제집 아동간호학,한국간호과학회,한국간호과학회,25000,25000,,8993593426
병원면접,정해성,맨오브컬쳐,15000,13500,328,1186572450
제약바이오 산업의 현장,임형식,내하출판사,19000,19000,254,8957174796
항공기 시스템,남명관,성안당,25000,25000,312,8931535880
기업경쟁력 창출을 위한 구매관리,최정욱,(주)박영사,29000,29000,390,1130305422
"노태호,장성원의 알기쉬운 심전도 2 ",노태호,대한의학서적,20000,19000,138,1155900758
신고 수목병리학,이종규,향문사,40000,40000,,8971872519
움직임 가이드북,Andrew Biel,범문에듀케이션,35000,35000,280,1159430411
스마트 세상을 여는 산업공학,대한산업공학회,청문각(교문사),13300,13300,248,8963642992
디자인과 인간 심리 ,도널드 노먼,학지사,17000,16490,,9788999708862
문헌정보학총론,정동열,한국도서관협회,22000,22000,409,8976783484
국어 교육의 이해,최미숙,사회평론아카데미,28000,28000,544,1185617663
C# 프로그래밍 ,윤인성,한빛아카데미,25000,25000,560,1156642043
가족상담과 가족치료,이영분,학지사,19000,19000,,9788999707711
수학용어사전,김수미,교우사(오판근),24000,24000,251,1125101121
인간행동과 심리학,오세진,학지사,23000,22310,,9788999706486
미리 가보는 수의학 교실,충북대학교 수의학교재편찬위원회,충북대학교출판부,33000,33000,437,8972952192
PLC 기초와 응용,최선욱,일진사,20000,18000,294,8942914039
신경언어장애,김향희,시그마프레스,28000,28000,,9788958322658
특수아동교육,이소현,학지사,22000,21340,,9788963306094
명심보감 현토완역,성백효,전통문화연구회,11000,11000,150,8991720315
김홍인 화성,김홍인,현대음악출판사(현대교육미디어),22000,19800,351,8948311409
미생물의 힘,이재열,사이언스북스,19000,17100,357,8983710950
상담 수퍼비전의 이론과 실제,유영권,학지사,20000,19400,420,899971621X
삼겹살의 시작,김태경,팜커뮤니케이션,15000,13500,244,1195726570
기본 천문학,Hannu Karttunen,시그마프레스,33000,33000,632,1162262141
취업과 창업,오영환,MJ미디어,18000,18000,337,8978802680
2019 원큐패스 간호조무사 핵심 총정리 ,백지운,다락원,25000,22500,480,8927770269
한국어 표준 문법,유현경,집문당,40000,38800,,9788930317993
법학입문,이영종,집현재,26000,26000,536,8997304828
영어 그림책으로 하는 독서 수업 A to Z,김혜리,교육과학사,22000,22000,348,8925412861
SCT 문장완성검사의 이해와 활용,이우경,학지사,17000,16490,180,8958918535
질적 연구방법의 이해,유기웅,(주)박영사,20000,20000,462,1188040499
