title,author,publisher,price,isbn,img_url,category
여름,이디스 워튼,민음사,12000,9788937463686,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937463686.jpg,소설
갈매기의 꿈(초판본)(50주년 기념 초판본 커버 특별 에디션),리처드 바크,나무옆의자,12800,9791161571089,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791161571089.jpg,소설
자기만의 방,버지니아 울프,더클래식,2900,9791164450350,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791164450350.jpg,소설
싯다르타(미니북),헤르만 헤세,더클래식,2900,9791159034596,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791159034596.jpg,소설
길 위에서 1,잭 케루악,민음사,11000,9788937462269,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937462269.jpg,소설
제인 에어 2,샬럿 브론테,민음사,11000,9788937461101,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937461101.jpg,소설
케이크와 맥주,서머싯 몸,민음사,13000,9788937463945,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937463945.jpg,소설
프랑켄슈타인(초판본)(1818년 오리지널 초판본 표지디자인),메리 셸리,더스토리,12800,9791164454013,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791164454013.jpg,소설
동물농장,조지 오웰,스타북스,7700,9791157955206,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791157955206.jpg,소설
셰익스피어 4대 비극,윌리엄 셰익스피어,아름다운날,13000,9791186809747,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791186809747.jpg,소설
